ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
47.17,67.23,1916.5,64195.35
32.81,26.37,1916.5,64195.43
56.33,49.71,1916.5,64195.44
78.51,30.41,1916.5,64195.65
67.5,68.42,1916.5,64195.66
54.38,19.48,1916.5,64195.69
65.86,25.1,1916.5,64195.71
66.13,46.88,1916.51,64195.72
50.53,16.19,1916.51,64195.84
50.46,52.4,1916.51,64196.95
73.07,20.66,1916.51,64196.99
58.01,66.97,1916.51,64197.03
74.65,10.47,1916.51,64197.28
58.13,58.2,1916.53,64197.57
51.79,40.65,1916.53,64197.6
28.17,26.91,1916.54,64197.64
51.25,84.25,1916.56,64197.86
42.7,4.92,1916.56,64197.91
52.05,18.62,1916.56,64197.96
45.02,38.19,1916.56,64197.96
41.2,10.57,1916.57,64198.01
60.5,67.34,1916.57,64198.04
37.04,5.66,1916.58,64198.07
61.6,67.01,1916.58,64198.46
69.38,59.79,1916.59,64198.48
58.04,10.86,1916.59,64198.52
48.28,55.28,1916.59,64198.62
46.65,13.51,1916.59,64199.25
46.22,37.72,1916.59,64199.89
71.08,87.32,1916.59,64199.29
71.37,3.89,1916.6,64199.36
48.87,25.99,1916.61,64199.45
25.12,68.61,1916.61,64199.46
34.13,62.71,1916.61,64199.48
48.21,34.93,1916.61,64199.7
63.34,84.93,1916.61,64199.73
54.9,13.62,1916.61,64200.57
70.41,63.72,1916.61,64200.67
64.25,82.81,1916.61,64200.7
58.03,33.9,1916.61,64200.71
46.74,48.49,1916.61,64200.8
54.01,25.69,1916.61,64200.31
44.13,49.14,1916.61,64201.16
54.34,50.7,1916.62,64201.38
51.1,82.56,1916.62,64201.56
62.83,17.47,1916.62,64201.59
73.52,31.08,1916.62,64202.1
93.53,38.58,1916.62,64202.25
88.33,79.53,1916.62,64202.34
90.61,29.24,1916.62,64202.35
69.63,83.38,1916.62,64202.31
54.9,36.37,1916.62,64202.82
48.26,36.05,1916.62,64203
47.96,6.89,1916.62,64203
68.62,3.37,1916.62,64203.03
70.27,7.07,1916.62,64203.67
90.48,68.74,1916.62,64203.76
84.14,77.73,1916.62,64204.25
73.14,28.59,1916.62,64204.89
78.2,19.94,1916.63,64204.5
57.29,26.15,1916.63,64204.54
35.2,40.86,1916.63,64204.99
52.59,28.93,1916.63,64205
68.71,39.96,1916.63,64205.02
52.93,25.4,1916.63,64205.53
29.18,56.39,1916.63,64205.53
31.82,2.85,1916.63,64205.62
26.73,4.12,1916.65,64206.13
46.28,70.76,1916.65,64206.28
27.35,73.87,1916.65,64206.69
50,44.43,1916.65,64206.7
47.88,82.05,1916.66,64206.82
53.14,45.74,1916.68,64206.92
38.29,35.84,1916.69,64206.95
55.02,61.96,1916.69,64207.2
72.45,25.59,1916.69,64207.2
82.79,26.15,1916.69,64207.31
71.33,32.44,1916.69,64207.32
84.7,6.73,1916.69,64207.37
86.09,5.32,1916.69,64207.44
83.33,82.23,1916.69,64207.45
66.96,83.2,1916.7,64207.79
90.52,57.03,1916.7,64207.83
67.77,72.73,1916.7,64207.86
68.45,34.41,1916.71,64207.96
77.35,12.64,1916.71,64208.06
71.74,82.88,1916.71,64208.12
55.85,74.66,1916.71,64208.12
37.05,34.25,1916.71,64208.19
55.49,76.66,1916.72,64208.57
72.57,39.65,1916.73,64208.9
81.25,41.06,1916.73,64208.91
59.1,4.47,1916.73,64208.98
35.86,24.24,1916.73,64209.21
50.02,59,1916.73,64209.23
67.86,64.72,1916.73,64209.58
87.66,4.04,1916.73,64209.58
76.47,12.77,1916.73,64209.61
94.46,66.61,1916.74,64209.72
94.68,79.46,1916.74,64210.55
83.34,63.24,1916.74,64210.62
81.38,86.98,1916.74,64210.89
79.85,69.64,1916.74,64211.19
71.06,21.94,1916.74,64211.4
75.22,3.93,1916.74,64211.88
72.49,39.26,1916.74,64212.14
48.47,68.38,1916.74,64212.27
67.6,49.74,1916.74,64212.38
48.37,2.06,1916.74,64212.58
60.37,47.4,1916.74,64212.64
78.62,45.7,1916.74,64213.09
54.48,82.4,1916.74,64213.46
56.73,64.03,1900.48,63800.03
79.79,56.08,1900.48,63800.12
66.03,76.32,1900.49,63800.31
51.85,58.78,1900.49,63800.47
55.95,45.03,1900.49,63800.54
37.95,51.5,1900.49,63800.58
47.44,27.61,1900.49,63800.58
37.69,2.66,1900.49,63800.7
57.86,55.62,1900.49,63800.73
59.9,52.97,1900.49,63800.9
39.13,14.67,1900.5,63800.98
62.27,23.29,1900.51,63801
48.89,28.69,1900.51,63801.54
37.52,63.92,1900.51,63801.63
29.6,31.97,1900.51,63801.72
44.61,88.17,1900.51,63801.83
64.02,41.79,1900.51,63801.99
76.32,60.88,1900.51,63802
81.02,86.52,1900.52,63802.04
94.28,14.71,1900.53,63802.25
75.96,28.23,1900.53,63802.43
87.76,58.11,1900.56,63802.56
91.71,80.71,1900.56,63802.68
69.75,53.95,1900.56,63802.69
67.66,57.5,1900.56,63802.87
73.62,79.58,1900.56,63802.99
75.93,37.74,1900.56,63805.12
75.56,40.86,1900.56,63806.84
93.38,55.77,1900.56,63806.86
80.74,80.33,1900.56,63807.55
88.71,8.44,1900.56,63807.57
65.87,36.7,1900.56,63808.89
76,85.57,1900.57,63808.35
55.81,43.5,1900.57,63808.39
74.83,78.78,1900.57,63808.47
77.25,6,1900.57,63808.49
56.9,86.93,1900.59,63808.64
62.36,60.29,1900.59,63808.77
53.13,21.43,1900.62,63809.14
59.7,85.96,1900.63,63809.18
45.9,28.34,1900.63,63809.19
55.32,23.93,1900.63,63809.21
55.14,30.42,1900.63,63809.48
56.06,43.37,1900.63,63809.59
37.47,76.84,1900.63,63809.6
28.41,57.1,1900.63,63809.76
38.89,74.38,1900.64,63809.78
32.38,32.77,1900.64,63310.12
35.77,78.65,1900.67,63310.31
60.22,73.3,1900.68,63310.38
61.03,62.19,1900.68,63310.83
37.23,73.54,1900.68,63310.86
34.58,25.82,1900.68,63310.98
34.93,26.83,1900.72,63311.09
56.69,47.82,1900.72,63311.12
41.24,23.97,1900.72,63311.18
37.26,69.37,1900.72,63311.18
62.46,68.99,1900.73,63311.89
86.61,81.51,1900.73,63311.29
88.68,44.43,1900.73,63311.37
83.96,49.91,1900.73,63311.82
62.9,17.75,1900.73,63311.87
64.83,8.82,1900.73,63312.09
58.18,35.49,1900.73,63312.11
63.57,76.51,1900.73,63312.11
72.11,85.33,1900.74,63312.16
72.9,78.29,1900.74,63312.21
59.95,47.45,1900.74,63312.23
53.19,37.12,1900.74,63312.3
49.66,43.94,1900.74,63312.57
32.22,38.73,1900.75,63312.94
48.38,51.76,1900.75,63313.03
32.59,70.2,1900.75,63313.24
54.39,16.56,1900.75,63313.28
52.57,29.84,1900.75,63313.29
34.05,40.63,1900.75,63313.32
49.51,64.1,1900.75,63313.64
68.6,4.09,1900.75,63313.64
66.66,25.44,1900.76,63313.94
46.9,73.13,1900.76,63846.05
30.85,11.98,1900.78,63846.41
28.02,48.2,1900.78,63846.42
40.38,51.19,1900.79,63846.58
63.66,48.68,1900.79,63846.69
78.89,33.91,1900.8,63847.14
81.11,41.49,1900.8,63847.21
63.94,25.76,1900.8,63847.58
48.52,78.32,1900.82,63847.77
67.02,74.61,1900.82,63847.78
64.35,53.34,1900.82,63847.85
61.74,72.52,1900.82,63848.1
55.94,22.08,1900.82,63848.21
55.43,11.25,1900.83,63848.24
79.06,42.85,1900.84,63848.25
63.64,46.32,1900.84,63848.31
63.85,8.5,1900.84,63848.93
41.85,36.08,1900.85,63849.16
43.48,89.02,1900.86,63849.16
24.13,34.48,1900.9,63849.32
21.45,35.68,1900.9,63849.43
55.25,60.93,1900.91,63849.62
50.59,20.28,1900.93,63849.83
33.95,44.28,1900.94,63849.88
26.59,33.42,1900.94,63849.97
34.93,10.76,1900.94,63850.1
44.29,68.12,1900.94,63850.19
68.67,62.72,1900.94,63850.19
54.3,42.1,1900.94,63850.36
43.92,4.06,1900.94,63850.39
75.1,79.2,1900.95,63850.73
94,6.71,1900.95,63850.75
79.63,73.32,1900.95,63850.94
62,37.03,1900.95,63850.94
52.3,51.06,1900.95,63851.18
39.94,18.92,1900.95,63851.19
32.76,21.52,1900.95,63851.2
68.97,42.58,1900.95,63851.39
87.99,54.15,1900.95,63851.72
92.88,25.46,1900.95,63851.89
87.14,52.03,1900.95,63851.98
81.4,39.35,1900.95,63852.04
85.27,39.01,1900.95,63852.13
66.76,36.88,1900.95,63852.14
54.69,60.53,1900.96,63852.16
48.85,77.71,1900.96,63852.18
49.05,20.84,1900.96,63852.28
44.8,17.5,1900.96,63852.35
48.45,16.66,1900.96,63852.48
23.71,32.79,1900.96,63852.85
28.91,89.06,1900.97,63852.98
36.21,12.88,1900.97,63852.98
54.52,62.78,1900.97,63853.02
63.7,66.85,1900.97,63853.21
51.83,84.11,1900.97,63853.42
36.25,59.85,1900.97,63853.75
52.03,36.08,1901.01,63854.44
28.25,21.78,1901.03,63854.7
43.44,16.07,1901.04,63855.07
35.72,76.13,1901.04,63855.2
33.21,67.23,1901.07,63855.29
49.73,28.3,1901.07,63855.35
68.3,30.34,1901.07,63855.41
75.8,12.83,1901.07,63855.52
55.78,86.55,1901.07,63855.55
54.79,61.57,1901.07,63855.9
50.01,4.32,1901.07,63856.13
27.38,41.02,1901.08,63856.21
21.97,58.59,1901.08,63856.36
20.15,23.33,1901.08,63856.39
23.12,33.35,1901.08,63856.48
43.84,26.04,1901.1,63856.58
51.18,23.98,1901.1,63856.62
64.51,42.56,1901.1,63856.64
78.65,11.53,1901.12,63856.74
66.98,33.75,1901.18,63857.02
42.76,17.69,1901.21,63857.12
46.9,25.23,1901.3,63857.12
48.56,78.72,1901.31,63857.23
64.58,69.75,1901.59,63857.89
43.3,7.72,1901.69,63857.6
48.47,8.13,1901.79,63857.72
53.21,58.93,1901.99,63857.73
36.67,82.33,1902.15,63857.78
20.1,19.4,1902.32,63858.16
28.78,33.47,1902.42,63858.28
46.92,7.27,1902.7,63858.28
38.6,21.89,1902.85,63858.42
29.55,80.8,1903.09,63858.42
47.25,65.1,1903.25,63858.46
60.24,20.97,1903.25,63858.6
58.95,65.12,1903.25,63858.62
74.53,17.06,1903.89,63858.64
78.91,30.52,1903.89,63859.09
73.71,36.79,1903.89,63859.14
88.64,40.76,1903.89,63859.34
79.92,42.85,1903.89,63859.41
73.61,64.08,1903.89,63859.5
57.39,71.45,1903.27,63860.03
45.45,70.36,1903.27,63860.05
47.34,15.25,1903.27,63861.07
66.17,33.27,1903.27,63861.17
60.28,16.24,1903.3,63861.43
60.44,29.23,1903.3,63861.47
65.33,23.29,1903.3,63861.55
80.38,89.88,1903.3,63861.67
75.69,29.9,1903.31,63861.75
67.04,69.9,1903.31,63861.76
61.58,73.67,1903.31,63861.79
77.09,63.13,1903.31,63861.9
94.49,16.04,1903.31,63861.93
87.42,28.64,1903.32,63862.06
66.79,65.98,1903.33,63862.18
87.91,57.54,1903.33,63862.29
71.68,82.08,1903.33,63862.48
90.21,49.28,1903.33,63862.53
72.71,55.92,1903.33,63862.54
83.53,14.59,1903.33,63862.79
78.04,12.27,1903.35,63862.9
55.24,36.89,1903.36,63862.95
73.59,69.26,1903.36,63862.99
52.33,13.47,1903.36,63864.08
40.47,70.9,1903.37,63864.51
54.12,59.26,1903.43,63864.65
51.88,4.55,1903.44,63864.78
70.08,68.86,1903.44,63864.96
51.64,37.04,1903.44,63865.17
58.05,70.38,1903.44,63865.29
41.53,45.62,1903.44,63865.62
34.68,80.15,1903.45,63865.64
48.11,66.63,1903.46,63866.2
36.8,50.43,1903.46,63866.34
23.02,11.21,1903.48,63866.52
37.12,33.98,1903.48,63866.57
53.98,22.72,1903.49,63866.69
54.87,82.54,1903.49,63866.31
71.15,18.85,1903.49,63866.83
63.21,22.98,1903.49,63866.88
67,66.53,1903.5,63866.89
62.98,2.87,1903.5,63867.13
47.72,41,1903.5,63867.31
51.45,43.15,1903.5,63867.31
55.12,11.83,1903.5,63868.13
30.19,27.58,1903.5,63868.21
48.92,33.56,1903.51,63868.22
28.01,8.54,1903.52,63868.32
38.48,86.31,1903.53,63868.33
50.29,25.27,1903.58,63868.46
27.13,14.08,1903.65,63868.48
64.95,87.85,1903.74,63868.53
60.19,50.54,1903.82,63868.58
68.93,13.45,1903.94,63868.59
89.63,21.26,1904.01,63868.67
67.24,5.67,1904.02,63868.68
52.57,5.58,1904.02,63868.82
52.81,55.83,1904.02,63869
55.86,44.49,1904.02,63869.29
63.16,88.36,1904.02,63869.58
73.21,88.29,1904.02,63869.61
66.72,3.23,1904.02,63869.66
70.02,48.37,1904.02,63869.69
81.63,51.14,1904.03,63869.92
87.56,12.16,1904.03,63870.05
65.31,89.08,1904.03,63870.17
48.59,71.14,1904.04,63870.18
38.54,88.5,1904.05,63871.21
20.72,68.89,1904.05,63871.33
21.59,46.37,1904.05,63871.36
53.08,59.94,1904.05,63871.38
34.38,55.2,1904.05,63871.69
47.81,11.06,1904.05,63872.09
37.06,20.89,1904.05,63872.62
45.94,57.26,1904.05,63872.69
31.69,32.04,1904.05,63873.07
46.9,76.1,1904.05,63873.08
62.51,72.78,1904.05,63873.17
57.15,16.93,1904.08,63873.27
78.69,22.62,1904.08,63873.28
92.91,5.4,1904.08,63873.31
82.68,37.57,1904.08,63873.74
57.95,22.46,1904.08,63873.78
56.47,76.59,1904.08,63873.88
39.55,7.82,1904.08,63873.89
41.42,40.38,1904.08,63874
68.68,9.86,1904.08,63874.15
53.41,19.58,1904.08,63874.16
30.6,82.29,1904.08,63874.37
57.73,2.92,1904.09,63874.4
60.54,76.33,1904.09,63847.39
61.58,6.09,1904.14,63877.89
61.64,60.19,1904.19,63887.33
52.04,62.22,1904.4,63887.82
75.55,42.1,1904.89,63888.92
81.19,9.05,1905.24,63889.68
62.38,3.42,1906.05,63890.35
48.58,58.18,1906.63,63891.95
35.47,31.68,1906.88,63892.62
48.9,28.69,1906.92,63893.34
58.57,35.4,1906.94,63894.2
67.87,9.86,1906.94,63894.31
91.33,17.34,1906.94,63895.87
79.72,69.93,1906.95,63896.42
67.34,7.38,1907,63903.54
89.78,51.74,1907.93,63903.96
77.07,86.16,1908.04,63905.04
55.57,48.12,1908.04,63906.94
51.53,48.09,1908.05,63908.24
76.34,48.03,1908.06,63908.73
85.34,83.08,1908.11,63910.69
87.71,5.33,1908.11,63912.06
68.55,57.13,1908.11,63913.09
86.78,3.23,1908.11,63913.14
72.44,39.01,1908.11,63914.72
79.03,4.79,1908.11,63915.02
91.68,65.16,1908.12,63915.67
87.59,9.52,1908.12,63916.05
83.03,41.01,1908.12,63916.23
71.31,45.76,1908.12,63916.68
76.33,84.8,1908.13,63917.12
56.95,64.44,1908.24,63918.43
75.91,46.5,1909.01,63919.73
63.33,62.89,1909.13,63947.39
70.88,37.74,1909.15,63921.7
72.21,7.72,1909.16,63921.94
71.68,78.01,1909.16,63921.98
85.75,27.83,1909.58,63922.31
66.64,53.28,1910.1,63923.19
68.07,84.05,1910.32,63924.24
82.87,79.92,1910.43,63925.65
87.41,51.95,1910.56,63925.31
89.64,84.33,1910.56,63926.19
92.87,39.61,1910.56,63928.13
83.73,57.46,1910.56,63929.14
82.21,59.22,1910.57,63929.15
65.09,54.15,1910.64,63984.59
50.23,42.88,1910.66,63984.86
40.93,56.94,1910.68,63931.02
51.49,83.2,1910.69,63931.09
74.77,43.23,1910.69,63932.64
91.44,44.82,1910.69,63932.85
81.1,58.04,1910.69,63933.02
70.33,9.8,1910.69,63933.12
64.14,21.42,1910.69,63933.12
65.7,15.55,1910.69,63933.13
56.52,76.81,1910.69,63933.15
44.35,71.36,1910.69,63933.18
48.75,73.47,1910.7,63933.38
35.29,46.05,1910.72,63934.25
47.34,45.99,1910.72,63934.3
24.1,24.51,1910.72,63935.48
71.29,81.82,1910.72,63935.56
48.84,10.32,1910.73,63935.61
51.66,39.51,1910.74,63935.31
33.45,55.86,1910.74,63935.91
47.69,12.86,1910.74,63936.02
27.87,41.1,1910.74,63936.22
33.32,73.43,1910.74,63936.35
71.42,29.02,1910.74,63936.42
52.84,36.09,1910.74,63936.51
59.1,39.25,1910.74,63936.8
37.93,7.22,1910.74,63936.92
57.31,20.64,1910.8,63940.73
38.76,58.99,1912.05,63943.05
38.57,88.76,1912.16,63943.85
32.55,82.35,1912.23,63944.47
28.83,40.3,1914.2,63954.52
47.84,38.57,1914.21,63956.77
66.06,34.72,1914.21,63969.28
53.69,6.25,1914.21,63969.33
38.41,66.22,1914.21,63980.36
55.88,6.14,1914.21,63986.35
75.59,35.8,1914.21,63995.92
72.24,19.7,1914.22,63995.92
64.71,47.47,1914.22,63999.32
52.72,61.3,1914.22,64001.99
31.53,89.75,1914.22,64005.29
52.23,82.32,1914.22,64005.54
45.7,28.83,1914.23,64007.55
51.02,63.43,1914.23,64009.67
71.72,61.91,1914.23,64011.75
90.59,82.48,1914.23,64012.75
73.12,16.38,1914.24,64012.76
59.04,53.08,1914.24,64013.91
58.44,50.41,1914.24,64015
68.82,9.46,1914.24,64016.06
89.64,59.46,1914.24,64016.29
68.05,21.36,1914.24,64017.19
49.88,26.18,1914.24,64018.11
56.46,24.55,1914.89,64018.65
57.92,69.59,1914.27,64019.16
69.86,74.94,1914.43,64074.36
74.4,72.27,1914.45,64074.83
52.49,86.34,1914.5,64021.19
62.05,59.65,1914.51,64021.79
50.21,12.39,1914.51,64022.11
32.86,73.67,1914.51,64022.75
32.39,19.98,1914.51,64022.9
49.7,36.5,1914.51,64023.21
26.19,2.2,1914.51,64023.32
25.68,11.34,1914.51,64023.47
61.14,33.12,1914.52,64023.54
45.73,15.71,1914.52,64023.54
37.64,30.88,1914.52,64023.74
58.91,18.9,1914.52,64023.92
47.09,6.89,1914.55,64024.54
37.4,83.56,1914.55,64024.61
60.26,62.23,1914.56,64024.62
75.65,78.43,1914.56,64024.78
55.39,73.94,1914.56,64024.79
30.75,10.29,1914.56,64024.86
40.34,28.72,1914.56,64024.88
34.35,29.84,1914.58,64025.27
47.74,64.88,1914.58,64025.36
43.64,11.69,1914.58,64025.58
33.46,77.8,1914.58,64025.65
58.82,53.43,1914.58,64025.66
69.42,53.58,1914.58,64025.9
68.79,70.08,1914.58,64040.63
45.74,87.46,1914.58,64041.1
21.51,55.74,1914.6,64041.2
32.94,29.81,1914.62,64042.21
23.87,74.06,1914.63,64044.51
48.45,43.85,1914.63,64046.99
36.42,80.58,1914.63,64048.02
25.47,18.72,1914.63,64048.02
49.15,38.05,1914.64,64049.1
72.21,81.97,1914.64,64050.3
79.34,57.04,1914.65,64051.5
84.23,39.32,1914.65,64051.5
68.94,32.43,1914.66,64052.07
86.17,71.11,1914.66,64053.57
89.74,72.26,1914.67,64054.51
70.39,11.19,1914.69,64054.52
92.11,86.57,1914.71,64055.14
72.6,87.34,1914.71,64055.56
94.96,54.99,1914.72,64055.91
74.23,42.63,1914.73,64055.93
88.31,43.2,1914.74,64056.02
73.03,69.35,1914.74,64056.07
93.89,73.32,1914.75,64056.08
77.21,79.45,1914.76,64056.09
86.46,31.82,1914.76,64056.12
71.18,80.92,1914.76,64056.16
64.56,81.23,1914.76,64056.35
69.17,33.24,1914.76,64056.37
92.88,30.48,1914.76,64056.39
73.54,51.95,1914.76,64056.52
49.93,50.99,1914.76,64056.69
59.77,64.42,1914.76,64056.76
47.94,26.77,1914.77,64056.93
61.42,10.87,1914.77,64057.05
57.23,51.89,1914.79,64057.16
81.5,78.35,1914.8,64057.54
69.47,70.52,1914.8,64057.54
59.49,84.98,1914.8,64057.61
71.42,64.56,1914.8,64057.64
48.85,64.6,1914.8,64057.78
64.34,83.96,1914.8,64057.79
53.19,78.6,1914.8,64057.8
32.27,17.26,1914.8,64057.82
50.08,44.27,1914.31,64058.06
51.94,54.86,1914.31,64058.25
64.31,40.62,1914.83,64058.37
69.97,26.84,1914.85,64058.58
83.19,69.98,1914.86,64059.01
66.97,86.82,1914.86,64059.38
83.69,37.27,1914.86,64059.49
61.6,49.23,1914.86,64059.52
67.42,36.96,1914.86,64059.55
83.89,44.3,1914.87,64059.56
92.12,78.66,1914.88,64059.64
72.91,54.23,1914.88,64059.71
57,46.93,1914.88,64060.28
52.59,32.85,1914.89,64060.3
31.53,26.54,1914.9,64060.44
26.84,47.95,1914.9,64060.46
44.28,34.57,1914.9,64060.56
42.52,21.57,1914.9,64060.68
41.29,39.76,1914.94,64060.73
57.31,62.45,1914.94,64060.75
42.52,81.82,1914.94,64061.32
65.15,79.56,1914.94,64061.43
63.94,49.78,1914.95,64061.46
58.2,74.53,1914.95,64061.49
42.7,28.72,1914.95,64061.57
38.96,32.39,1914.95,64061.58
36.93,66.98,1914.95,64062.38
30.23,75.31,1914.95,64062.38
30.37,56.21,1914.95,64062.41
42.22,65,1914.96,64062.42
24.31,9.62,1914.96,64062.53
38.54,84.82,1914.96,64062.85
57.72,12.27,1914.98,64063.02
68.89,44.63,1915,64063.06
51.65,41.16,1915,64063.24
58.92,18.75,1915,64063.27
48.26,33.02,1915,64063.5
42.36,46.74,1915.06,64063.69
49.49,51.69,1915.06,64063.69
53.45,66.65,1915.06,64063.73
61.49,57.44,1915.07,64063.85
59.48,67.83,1915.08,64064.07
65.62,26.23,1915.08,64064.16
58.72,41.96,1915.08,64064.19
43.29,45.96,1915.08,64064.22
22.97,59.36,1915.08,64064.39
36.84,78.52,1915.08,64064.39
30.44,61.02,1915.09,64064.6
43.05,26.41,1915.09,64064.66
63.77,14.12,1915.09,64064.69
85.71,70.5,1915.12,64064.83
61.11,35.78,1915.12,64065.31
48.03,43.46,1915.12,64065.34
31.24,79.32,1915.12,64065.35
43.82,74.15,1915.12,64065.52
57.09,43.52,1915.12,64065.56
45.21,69.4,1915.12,64065.57
50.73,65.13,1915.13,64065.58
39.68,67.62,1915.13,64065.59
52.48,65.15,1915.13,64065.63
56.23,28.38,1915.14,64066.37
43.31,79.03,1915.14,64066.4
30.27,59.73,1915.17,64066.4
20.43,80.87,1915.18,64066.55
41,51.77,1915.18,64066.85
20.42,82.2,1915.18,64066.94
58.89,66.46,1915.18,64066.95
64.55,8.56,1915.18,64067.05
71.72,66.05,1915.18,64067.11
56.18,64.68,1915.18,64067.19
59.56,38.51,1915.18,64067.24
73.59,10.79,1915.18,64067.3
68.71,58.75,1915.19,64067.87
51.91,56.28,1915.19,64068.1
52.83,45.21,1915.19,64068.24
65.12,82.69,1915.2,64068.32
51.66,31.25,1915.2,64068.4
28.27,63.85,1915.2,64068.4
65.22,26.43,1915.21,64068.42
41.32,65.95,1915.21,64068.65
61.25,52.83,1915.23,64068.97
48.47,10.38,1915.23,64069.12
31.69,43.97,1915.24,64069.23
21.01,89.05,1915.24,64069.38
30.79,87.11,1915.24,64069.56
50.24,87.02,1915.24,64069.6
37.15,64.13,1915.24,64069.61
50.7,89.63,1915.25,64069.65
58.39,50.01,1915.25,64069.68
71.62,31.29,1915.25,64069.86
72.78,25.36,1915.25,64070.07
72.47,58.36,1915.25,64070.08
58.33,68.17,1915.25,64070.23
34.47,69.19,1915.25,64070.31
53.4,17.32,1915.25,64070.42
64.87,69.42,1915.89,64070.45
50.38,77.89,1915.89,64072.47
60.18,26.43,1915.89,64072.51
57.84,8.01,1915.89,64072.84
63.55,23.18,1915.89,64072.85
55.72,27.85,1915.89,64072.96
70.69,3.29,1915.27,64073.04
85.48,10.18,1915.27,64073.11
86.45,50.28,1915.27,64073.47
66.89,63.96,1915.27,64073.51
64.7,59.04,1915.27,64073.58
53.58,29.31,1915.27,64073.71
54.9,51.83,1915.28,64073.79
38.41,53.02,1915.28,64073.8
45.6,64.51,1915.3,64073.83
69.71,46.33,1915.31,64074.92
80.45,31.02,1915.31,64074.95
59.05,15.56,1915.31,64074.95
79.47,64.63,1915.31,64075.1
55.59,69.43,1915.32,64075.1
56.44,71.26,1915.32,64075.13
49.01,11.35,1915.32,64075.13
49.94,14.46,1915.32,64075.14
68.97,72.54,1915.33,64075.32
72.92,37.48,1915.34,64076.05
63.67,40.08,1915.34,64076.08
44.09,58.99,1915.35,64076.14
63,70.36,1915.36,64076.17
42.53,39.25,1915.37,64036.82
52.57,79.11,1915.37,64036.82
34.98,41.46,1915.37,64076.5
53.77,13.52,1915.37,64076.63
78.01,72.61,1915.37,64026.91
80.79,20.65,1915.37,64026.99
94.76,7.77,1915.37,64077.02
82.66,28.51,1915.37,64077.11
93.24,64.58,1915.37,64077.33
83.99,31.3,1915.37,64077.33
71.02,74.9,1915.38,64047.4
67.11,47.69,1915.38,64047.41
45.79,57.47,1915.38,64047.44
32.24,15.96,1915.38,64047.44
27.18,50.69,1915.39,64032.98
37,10.35,1915.39,64077.85
41.17,51.62,1915.39,64077.96
56.03,19.49,1915.39,64077.97
65.21,2.22,1915.39,64077.98
78.28,46.44,1915.39,64078.03
58.22,4.37,1915.4,64078.03
64.87,53.41,1915.4,64078.05
71.98,58.86,1915.4,64078.06
90.3,73.32,1915.4,64078.99
71.15,60.95,1915.4,64079.31
57.34,4.42,1915.41,64079.4
40.2,31.04,1915.41,64079.43
48.28,70.37,1915.41,64079.57
29.78,89.4,1915.41,64079.65
20.76,72.1,1915.41,64079.67
40.88,10.26,1915.42,64079.69
43.24,23.13,1915.45,64079.98
39.78,14.01,1915.46,64080.21
57.16,24.65,1915.46,64080.31
75.64,14.32,1915.46,64031.36
55.7,67.78,1915.46,64031.39
38.61,81.52,1915.46,64031.44
33.13,33.43,1915.47,64031.45
43.95,81.83,1915.47,64031.45
67.52,49.17,1915.47,64031.85
79.28,5.24,1915.47,64082.01
67.24,2.6,1915.47,64082.14
55.31,65.47,1915.47,64082.18
55.44,73.59,1915.47,64082.21
69.11,74.89,1915.48,64082.24
82.33,24.06,1915.48,64082.69
69.1,67.43,1915.5,64082.96
81.32,71.14,1915.51,64083
90.37,18.34,1915.51,64083.24
88.83,21.67,1915.51,64083.24
75.68,16.93,1915.51,64083.24
50.75,31.65,1915.51,64083.25
58.48,83.52,1915.52,64083.27
51.55,15.16,1915.53,64083.38
34.36,27.78,1915.53,64083.54
46.88,83.78,1915.53,64083.93
50.98,47.81,1915.53,64083.96
40.72,17.13,1915.54,64083.99
32.1,50.01,1915.54,64084.15
30.72,39.08,1915.54,64084.15
63.52,45.67,1915.55,64084.89
74.07,77.51,1915.55,64084.31
76.18,71.29,1915.55,64084.35
79.55,8.28,1915.55,64084.41
72.22,77.93,1915.55,64084.42
61.29,37.46,1915.55,64084.46
58.84,69.19,1915.56,64084.48
69.45,14.67,1915.56,64084.76
76.87,5.43,1915.56,64084.88
52.57,13.26,1915.57,64084.91
72.48,40.46,1915.57,64085.08
80.37,8.5,1915.57,64085.09
77.6,50.41,1915.58,64095.31
93.82,2.64,1915.58,64096.8
90.92,70.08,1915.58,64097.11
72.17,3.15,1915.58,64097.2
48.87,79.59,1915.58,64097.24
55.13,6.32,1915.58,64097.52
68.69,41.71,1915.58,64097.56
51.89,4.28,1915.59,64097.57
44.29,87.13,1915.59,64097.58
40.22,46.38,1915.59,64097.61
28.09,59.57,1915.59,64097.86
27.36,56.49,1915.59,64097.87
50.97,89.81,1915.6,64097.97
71.04,18.31,1915.6,64098.06
75.98,16.46,1915.6,64098.09
89.29,86.4,1915.61,64098.1
88.32,27.43,1915.61,64098.28
93.9,13.63,1915.61,64098.31
69.29,49.68,1915.61,64098.36
88.64,21.34,1915.61,64098.51
65.05,60.21,1915.61,64098.31
71.53,35.47,1915.61,64098.86
65.68,26.3,1915.62,64098.87
66.35,54.22,1915.62,64098.95
86,19.76,1915.62,64098.95
64.94,9.28,1915.62,64099.1
49.84,48.53,1915.62,64099.23
72.37,56.38,1915.62,64099.23
50.04,61.15,1915.62,64099.24
52.51,17.83,1915.63,64099.89
70.13,74.86,1915.63,64099.29
83.35,25.54,1915.63,64099.91
79.16,73.62,1915.63,64099.98
